Date,CNH,JPY,KRW,THB,USD
2001-01-24,,8075.97,,219.43,9440.0
2001-01-25,,8071.7,,220.87,9502.0
2001-01-26,,8105.43,,220.79,9472.0
2001-01-29,,8100.95,,222.88,9517.0
2001-01-30,,8121.3,,222.33,9467.0
2001-01-31,,8173.68,,223.2,9497.0
2001-02-01,,8160.78,,223.78,9522.0
2001-02-02,,8327.7,,227.06,9616.0
2001-02-05,,8337.36,,228.12,9663.0
2001-02-06,,8367.08,,226.81,9628.0
2001-02-07,,8410.69,,227.14,9658.0
2001-02-08,,8320.15,,227.08,9678.0
2001-02-09,,8288.37,,226.59,9646.0
2001-02-12,,8202.69,,227.01,9648.0
2001-02-13,,8241.97,,226.97,9653.0
2001-02-14,,8269.03,,227.64,9645.0
2001-02-15,,8306.51,,227.93,9653.0
2001-02-16,,8341.4,,227.56,9651.0
2001-02-19,,8343.13,,226.97,9653.0
2001-02-20,,8326.29,,226.25,9661.0
2001-02-21,,8364.93,,226.11,9664.0
2001-02-22,,8317.44,,225.21,9684.0
2001-02-23,,8307.05,,224.74,9691.0
2001-02-26,,8429.13,,227.97,9782.0
2001-02-27,,8519.32,,230.87,9902.0
2001-02-28,,8498.71,,230.4,9884.0
2001-03-01,,8422.67,,229.43,9884.0
2001-03-02,,8462.19,,229.53,9927.0
2001-03-05,,8462.19,,229.53,9927.0
2001-03-06,,8349.33,,228.59,9914.0
2001-03-07,,8364.75,,228.9,9939.0
2001-03-08,,8272.36,,227.74,9950.0
2001-03-09,,8381.21,,230.33,10008.0
2001-03-12,,8945.97,,246.72,10779.0
2001-03-13,,8535.39,,234.63,10251.0
2001-03-14,,8385.91,,230.51,10048.0
2001-03-15,,8397.58,,231.86,10151.0
2001-03-16,,8316.46,,232.03,10186.0
2001-03-19,,8483.77,,237.82,10452.0
2001-03-20,,8511.16,,237.91,10450.0
2001-03-21,,8508.81,,237.85,10482.0
2001-03-22,,8521.04,,237.64,10532.0
2001-03-23,,8408.56,,234.72,10377.0
2001-03-26,,8408.56,,234.72,10377.0
2001-03-27,,8500.04,,235.64,10427.0
2001-03-28,,8618.79,,237.17,10502.0
2001-03-29,,8504.17,,233.17,10404.0
2001-03-30,,8415.46,,233.56,10452.0
2001-04-02,,8326.31,,232.5,10472.0
2001-04-03,,8296.66,,232.62,10482.0
2001-04-04,,8357.45,,232.51,10512.0
2001-04-05,,8606.1,,236.84,10743.0
2001-04-06,,8718.26,,239.67,10917.0
2001-04-09,,8738.38,,238.9,10902.0
2001-04-10,,8689.44,,238.11,10834.0
2001-04-11,,8640.21,,235.97,10713.0
2001-04-12,,8460.0,,232.0,10542.0
2001-04-13,,8460.0,,232.0,10542.0
2001-04-16,,8682.94,,237.05,10812.0
2001-04-17,,8770.63,,239.17,10894.0
2001-04-18,,8968.41,,242.57,11015.0
2001-04-19,,9014.65,,243.86,11015.0
2001-04-20,,9289.23,,249.47,11331.0
2001-04-23,,9622.75,,257.87,11759.0
